Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_Half_TN,tn_32000_64_8192,Gemm_Hipblaslt_TN_12683,0.182
GemmTunableOp_Half_TN,tn_57344_8192_8192,Gemm_Hipblaslt_TN_22029,14.8177
GemmTunableOp_Half_TN,tn_4096_72_11008,Gemm_Hipblaslt_TN_21661,0.0412033
GemmTunableOp_Half_TN,tn_8192_112_28672,Gemm_Hipblaslt_TN_22162,0.186611
GemmTunableOp_Half_TN,tn_10240_176_8192,Gemm_Hipblaslt_TN_22099,0.0825023
GemmTunableOp_Half_TN,tn_4096_216_11008,Gemm_Hipblaslt_TN_21984,0.0644476
GemmTunableOp_Half_TN,tn_32000_128_4096,Gemm_Hipblaslt_TN_21725,0.100122
GemmTunableOp_Half_TN,tn_8192_88_8192,Gemm_Hipblaslt_TN_21666,0.0524757
GemmTunableOp_Half_TN,tn_57344_80_8192,Gemm_Hipblaslt_TN_21663,0.286239
GemmTunableOp_Half_TN,tn_32000_56_4096,Gemm_Hipblaslt_TN_12683,0.0750706
GemmTunableOp_Half_TN,tn_10240_144_8192,Gemm_Hipblaslt_TN_22316,0.0716023
GemmTunableOp_Half_TN,tn_8192_80_28672,Gemm_Hipblaslt_TN_21667,0.155363
GemmTunableOp_Half_TN,tn_22016_160_4096,Gemm_Hipblaslt_TN_21921,0.0730672
GemmTunableOp_Half_TN,tn_8192_56_28672,Gemm_Hipblaslt_TN_21667,0.152596
GemmTunableOp_Half_TN,tn_4096_1792_4096,Gemm_Hipblaslt_TN_22190,0.134931
GemmTunableOp_Half_TN,tn_22016_1792_4096,Gemm_Rocblas_16092,0.627215
GemmTunableOp_Half_TN,tn_8192_224_28672,Gemm_Hipblaslt_TN_21884,0.259423
