Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_Half_TN,tn_8192_160_4096,Gemm_Hipblaslt_TN_22386,0.0445573
GemmTunableOp_Half_TN,tn_8192_72_14336,Gemm_Hipblaslt_TN_21667,0.0688465
GemmTunableOp_Half_TN,tn_5120_208_8192,Gemm_Hipblaslt_TN_22098,0.0630227
GemmTunableOp_Half_TN,tn_28672_136_8192,Gemm_Hipblaslt_TN_21921,0.198029
GemmTunableOp_Half_TN,tn_28672_16_8192,Gemm_Hipblaslt_TN_23388,0.137436
GemmTunableOp_Half_TN,tn_2560_136_8192,Gemm_Hipblaslt_TN_21777,0.0359485
GemmTunableOp_Half_TN,tn_8192_32768_4096,Gemm_Hipblaslt_TN_22051,3.8038
GemmTunableOp_Half_TN,tn_5120_168_8192,Gemm_Hipblaslt_TN_22060,0.0529375
GemmTunableOp_Half_TN,tn_8192_1_28672,Gemm_Hipblaslt_TN_21531,0.125295
GemmTunableOp_Half_TN,tn_5120_88_8192,Gemm_Hipblaslt_TN_22133,0.0394969
GemmTunableOp_Half_TN,tn_8192_72_4096,Gemm_Hipblaslt_TN_21638,0.0329126
GemmTunableOp_Half_TN,tn_14336_72_8192,Gemm_Hipblaslt_TN_22241,0.0713946
GemmTunableOp_Half_TN,tn_8192_56_14336,Gemm_Hipblaslt_TN_22165,0.0658987
GemmTunableOp_Half_TN,tn_28672_256_8192,Gemm_Hipblaslt_TN_22190,0.305496
GemmTunableOp_Half_TN,tn_5120_184_8192,Gemm_Hipblaslt_TN_22060,0.054132
GemmTunableOp_Half_TN,tn_8192_40_7168,Gemm_Hipblaslt_TN_21609,0.0443772
GemmTunableOp_Half_TN,tn_8192_96_8192,Gemm_Hipblaslt_TN_22165,0.050256
GemmTunableOp_Half_TN,tn_5120_8_8192,Gemm_Hipblaslt_TN_21530,0.0260842
GemmTunableOp_Half_TN,tn_8192_104_14336,Gemm_Hipblaslt_TN_22108,0.0847853
GemmTunableOp_Half_TN,tn_57344_152_8192,Gemm_Hipblaslt_TN_21797,0.344198
GemmTunableOp_Half_TN,tn_2560_16_8192,Gemm_Hipblaslt_TN_21531,0.0185806
GemmTunableOp_Half_TN,tn_28672_16384_8192,Gemm_Hipblaslt_TN_22029,14.8813
GemmTunableOp_Half_TN,tn_8192_200_28672,Gemm_Hipblaslt_TN_22081,0.236695
GemmTunableOp_Half_TN,tn_5120_192_8192,Gemm_Hipblaslt_TN_22060,0.0518666
GemmTunableOp_Half_TN,tn_8192_128_8192,Gemm_Hipblaslt_TN_22164,0.0585468
GemmTunableOp_Half_TN,tn_8192_32_2048,Gemm_Hipblaslt_TN_12571,0.0230734
GemmTunableOp_Half_TN,tn_8192_64_14336,Gemm_Hipblaslt_TN_21587,0.0656877
GemmTunableOp_Half_TN,tn_28672_200_8192,Gemm_Hipblaslt_TN_22066,0.254491
GemmTunableOp_Half_TN,tn_8192_176_4096,Gemm_Hipblaslt_TN_22197,0.0493952
GemmTunableOp_Half_TN,tn_5120_200_8192,Gemm_Hipblaslt_TN_22137,0.0584061
GemmTunableOp_Half_TN,tn_57344_4_8192,Gemm_Hipblaslt_TN_21529,0.243236
GemmTunableOp_Half_TN,tn_8192_200_14336,Gemm_Hipblaslt_TN_22085,0.125603
GemmTunableOp_Half_TN,tn_8192_160_14336,Gemm_Hipblaslt_TN_22162,0.100576
GemmTunableOp_Half_TN,tn_8000_256_8192,Gemm_Hipblaslt_TN_21736,0.0980668
GemmTunableOp_Half_TN,tn_8000_1_8192,Gemm_Hipblaslt_TN_21538,0.0335743
GemmTunableOp_Half_TN,tn_8192_256_8192,Gemm_Hipblaslt_TN_22140,0.098972
GemmTunableOp_Half_TN,tn_8192_48_14336,Gemm_Hipblaslt_TN_22184,0.0633491
GemmTunableOp_Half_TN,tn_5120_96_8192,Gemm_Hipblaslt_TN_22133,0.0394337
GemmTunableOp_Half_TN,tn_14336_112_8192,Gemm_Hipblaslt_TN_22086,0.097148
GemmTunableOp_Half_TN,tn_5120_48_8192,Gemm_Hipblaslt_TN_22377,0.0344878
GemmTunableOp_Half_TN,tn_28672_176_8192,Gemm_Hipblaslt_TN_21831,0.231124
GemmTunableOp_Half_TN,tn_8192_4_7168,Gemm_Hipblaslt_TN_23386,0.0281038
GemmTunableOp_Half_TN,tn_8192_40_4096,Gemm_Hipblaslt_TN_23388,0.0285626
GemmTunableOp_Half_TN,tn_2560_200_8192,Gemm_Hipblaslt_TN_22080,0.0436524
GemmTunableOp_Half_TN,tn_8192_112_4096,Gemm_Hipblaslt_TN_22386,0.0397991
GemmTunableOp_Half_TN,tn_28672_160_8192,Gemm_Hipblaslt_TN_22101,0.204217
GemmTunableOp_Half_TN,tn_14336_56_8192,Gemm_Hipblaslt_TN_12571,0.0708506
GemmTunableOp_Half_TN,tn_8192_32_14336,Gemm_Hipblaslt_TN_22379,0.058798
GemmTunableOp_Half_TN,tn_57344_240_8192,Gemm_Hipblaslt_TN_22029,0.550335
GemmTunableOp_Half_TN,tn_8192_224_7168,Gemm_Hipblaslt_TN_22197,0.0736642
GemmTunableOp_Half_TN,tn_5120_240_8192,Gemm_Hipblaslt_TN_22172,0.0691305
GemmTunableOp_Half_TN,tn_8192_168_28672,Gemm_Hipblaslt_TN_22082,0.211174
GemmTunableOp_Half_TN,tn_10240_16_8192,Gemm_Hipblaslt_TN_23386,0.0459836
GemmTunableOp_Half_TN,tn_8192_16_8192,Gemm_Hipblaslt_TN_22379,0.0383949
GemmTunableOp_Half_TN,tn_8192_224_4096,Gemm_Hipblaslt_TN_22197,0.0496137
GemmTunableOp_Half_TN,tn_5120_232_8192,Gemm_Hipblaslt_TN_22172,0.0682078
GemmTunableOp_Half_TN,tn_8192_168_14336,Gemm_Hipblaslt_TN_22082,0.115041
GemmTunableOp_Half_TN,tn_16000_128_8192,Gemm_Hipblaslt_TN_22118,0.116489
GemmTunableOp_Half_TN,tn_28672_72_8192,Gemm_Hipblaslt_TN_21664,0.163332
GemmTunableOp_Half_TN,tn_28672_120_8192,Gemm_Hipblaslt_TN_21921,0.19396
GemmTunableOp_Half_TN,tn_8192_1_14336,Gemm_Hipblaslt_TN_23386,0.0507825
GemmTunableOp_Half_TN,tn_10240_40_8192,Gemm_Hipblaslt_TN_22359,0.0531548
GemmTunableOp_Half_TN,tn_14336_256_8192,Gemm_Hipblaslt_TN_21921,0.142824
GemmTunableOp_Half_TN,tn_8192_24_4096,Gemm_Hipblaslt_TN_23386,0.0217299
GemmTunableOp_Half_TN,tn_8192_152_14336,Gemm_Hipblaslt_TN_22162,0.09744
GemmTunableOp_Half_TN,tn_10240_56_8192,Gemm_Hipblaslt_TN_22359,0.0553484
GemmTunableOp_Half_TN,tn_8192_248_8192,Gemm_Hipblaslt_TN_22087,0.09645
GemmTunableOp_Half_TN,tn_57344_2_8192,Gemm_Hipblaslt_TN_21529,0.242257
GemmTunableOp_Half_TN,tn_8192_16_28672,Gemm_Hipblaslt_TN_22379,0.129464
GemmTunableOp_Half_TN,tn_8192_8_7168,Gemm_Hipblaslt_TN_23386,0.0288174
GemmTunableOp_Half_TN,tn_8192_8_8192,Gemm_Hipblaslt_TN_21538,0.0365197
GemmTunableOp_Half_TN,tn_8192_16384_4096,Gemm_Rocblas_16092,2.14224
GemmTunableOp_Half_TN,tn_5120_104_8192,Gemm_Hipblaslt_TN_22364,0.045963
GemmTunableOp_Half_TN,tn_8192_24_28672,Gemm_Hipblaslt_TN_22379,0.13599
GemmTunableOp_Half_TN,tn_14336_144_8192,Gemm_Hipblaslt_TN_22086,0.09693
GemmTunableOp_Half_TN,tn_8192_200_8192,Gemm_Hipblaslt_TN_22085,0.0728862
GemmTunableOp_Half_TN,tn_57344_16_8192,Gemm_Hipblaslt_TN_21517,0.244442
GemmTunableOp_Half_TN,tn_5120_56_8192,Gemm_Hipblaslt_TN_22377,0.0354574
GemmTunableOp_Half_TN,tn_10240_80_8192,Gemm_Hipblaslt_TN_21636,0.0579595
GemmTunableOp_Half_TN,tn_10240_4_8192,Gemm_Hipblaslt_TN_21620,0.042446
GemmTunableOp_Half_TN,tn_5120_136_8192,Gemm_Hipblaslt_TN_22058,0.0477985
GemmTunableOp_Half_TN,tn_8192_208_4096,Gemm_Hipblaslt_TN_22197,0.0502396
GemmTunableOp_Half_TN,tn_8192_152_8192,Gemm_Hipblaslt_TN_22162,0.0635595
GemmTunableOp_Half_TN,tn_8192_8_28672,Gemm_Hipblaslt_TN_22379,0.12754
GemmTunableOp_Half_TN,tn_28672_40_8192,Gemm_Hipblaslt_TN_12678,0.149778
GemmTunableOp_Half_TN,tn_8192_2048_7168,Gemm_Rocblas_16092,0.450638
GemmTunableOp_Half_TN,tn_8192_4_28672,Gemm_Hipblaslt_TN_22379,0.126785
GemmTunableOp_Half_TN,tn_8192_32_4096,Gemm_Hipblaslt_TN_23386,0.0206514
GemmTunableOp_Half_TN,tn_57344_208_8192,Gemm_Hipblaslt_TN_22070,0.4464
GemmTunableOp_Half_TN,tn_57344_24_8192,Gemm_Hipblaslt_TN_21529,0.248404
GemmTunableOp_Half_TN,tn_8192_24_8192,Gemm_Hipblaslt_TN_22379,0.0403533
GemmTunableOp_Half_TN,tn_8192_64_28672,Gemm_Hipblaslt_TN_22170,0.151659
GemmTunableOp_Half_TN,tn_2560_144_8192,Gemm_Hipblaslt_TN_21777,0.0366461
GemmTunableOp_Half_TN,tn_8192_40_2048,Gemm_Hipblaslt_TN_12694,0.0255566
GemmTunableOp_Half_TN,tn_57344_48_8192,Gemm_Hipblaslt_TN_21557,0.2537
GemmTunableOp_Half_TN,tn_28672_48_8192,Gemm_Hipblaslt_TN_12678,0.152156
GemmTunableOp_Half_TN,tn_8192_2_8192,Gemm_Hipblaslt_TN_22379,0.0352509
GemmTunableOp_Half_TN,tn_8192_224_14336,Gemm_Hipblaslt_TN_22085,0.130604
GemmTunableOp_Half_TN,tn_8192_112_8192,Gemm_Hipblaslt_TN_22294,0.0604011
